[pt.c] /dev/sgx-step opened!
[pt.c] /dev/mem opened!

--------------------------------------------------------------------------------
[main.c] Creating enclave...
--------------------------------------------------------------------------------

[main.c] cipher is 9334

==== System Settings ====
    Pstate max perf pct: 100
    Pstate min perf pct: 100
    Turbo Boost:         0
    cpu pinning:         1
    Designated cpu:      1
    Running on cpu:      1
==== Victim Enclave ====
    Base: 0x7f9447000000
    Size: 4194304
    Limit:  0x7f9447400000
    TCS:  0x7f944737f000
    AEP:  0x4036ec
    EDBGRD: debug
[main.c] Establishing user space IDT mapping
[main.c] ^^ enclave RIP=0x8773; latency=7860
[main.c] ^^ enclave RIP=0x8776; latency=8016
[main.c] ^^ enclave RIP=0x8750; latency=7816
[main.c] ^^ enclave RIP=0x8753; latency=7842
[main.c] ^^ enclave RIP=0x8758; latency=7844
[main.c] ^^ enclave RIP=0x875b; latency=7826
[main.c] ^^ enclave RIP=0x875e; latency=8030
[main.c] ^^ enclave RIP=0x8762; latency=7844
[main.c] ^^ enclave RIP=0x8766; latency=7788
[main.c] ^^ enclave RIP=0x8769; latency=7912
[main.c] ^^ enclave RIP=0x202f; latency=7786
[main.c] ^^ enclave RIP=0x2031; latency=8020
[main.c] ^^ enclave RIP=0x2033; latency=7904
[main.c] ^^ enclave RIP=0x2037; latency=7810
[main.c] ^^ enclave RIP=0x203a; latency=7852
[main.c] ^^ enclave RIP=0x203d; latency=7840
[main.c] ^^ enclave RIP=0x2041; latency=7928
[main.c] ^^ enclave RIP=0x876c; latency=7844
[main.c] ^^ enclave RIP=0x8771; latency=7816
[main.c] ^^ enclave RIP=0x8740; latency=7844
[main.c] ^^ enclave RIP=0x8744; latency=7850
[main.c] ^^ enclave RIP=0x8748; latency=7848
[main.c] ^^ enclave RIP=0x874b; latency=7974
[main.c] ^^ enclave RIP=0x8750; latency=8014
[main.c] ^^ enclave RIP=0x8753; latency=7964
[main.c] ^^ enclave RIP=0x8758; latency=7878
[main.c] ^^ enclave RIP=0x875b; latency=7812
[main.c] ^^ enclave RIP=0x875e; latency=8000
[main.c] ^^ enclave RIP=0x8762; latency=7886
[main.c] ^^ enclave RIP=0x8766; latency=7878
[main.c] ^^ enclave RIP=0x8769; latency=7888
[main.c] ^^ enclave RIP=0x202f; latency=7812
[main.c] ^^ enclave RIP=0x2031; latency=8158
[main.c] ^^ enclave RIP=0x2033; latency=7878
[main.c] ^^ enclave RIP=0x2041; latency=7878
[main.c] ^^ enclave RIP=0x876c; latency=7832
[main.c] ^^ enclave RIP=0x8790; latency=7802
[main.c] ^^ enclave RIP=0x8794; latency=7868
[main.c] ^^ enclave RIP=0x8797; latency=8086
[main.c] ^^ enclave RIP=0x8798; latency=7922
[main.c] ^^ enclave RIP=0x8799; latency=7892
[main.c] ^^ enclave RIP=0x879b; latency=7898
[main.c] ^^ enclave RIP=0x879d; latency=8082
[main.c] ^^ enclave RIP=0x879f; latency=8086
[main.c] ^^ enclave RIP=0x87a1; latency=8066
[main.c] ^^ enclave RIP=0x2079; latency=7978
[main.c] ^^ enclave RIP=0x207c; latency=7994
[main.c] ^^ enclave RIP=0x207e; latency=8040
[main.c] ^^ enclave RIP=0x2083; latency=7804
[main.c] ^^ enclave RIP=0x208a; latency=7904
[main.c] ^^ enclave RIP=0x208d; latency=8014
[main.c] ^^ enclave RIP=0x2091; latency=7974
[main.c] ^^ enclave RIP=0x2094; latency=7890
[main.c] ^^ enclave RIP=0x2098; latency=7864
[main.c] ^^ enclave RIP=0x514a; latency=7778
[main.c] ^^ enclave RIP=0x514c; latency=7728
[main.c] ^^ enclave RIP=0x514e; latency=7908
[main.c] ^^ enclave RIP=0x514f; latency=7862
[main.c] ^^ enclave RIP=0x6c30; latency=9844
[main.c] ^^ enclave RIP=0x6c30; latency=7858
[main.c] ^^ enclave RIP=0x6c30; latency=31786
[main.c] ^^ enclave RIP=0x6c30; latency=23440
[main.c] ^^ enclave RIP=0x6c30; latency=12562
[main.c] ^^ enclave RIP=0x6c30; latency=9122
[main.c] ^^ enclave RIP=0x6c32; latency=7694
[main.c] ^^ enclave RIP=0x6c37; latency=7782
[main.c] ^^ enclave RIP=0x6c39; latency=7718
[main.c] ^^ enclave RIP=0x6c3d; latency=7736
[main.c] ^^ enclave RIP=0x6c3f; latency=8296
[main.c] ^^ enclave RIP=0x6c40; latency=7968
[main.c] ^^ enclave RIP=0x6c41; latency=7812
[main.c] ^^ enclave RIP=0x6c43; latency=7990
[main.c] ^^ enclave RIP=0x6c45; latency=7902
[main.c] ^^ enclave RIP=0x8387; latency=7792
[main.c] ^^ enclave RIP=0x838a; latency=7824
[main.c] ^^ enclave RIP=0x8391; latency=8082
[main.c] ^^ enclave RIP=0x76fc; latency=8026
[main.c] ^^ enclave RIP=0x76ff; latency=7832
[main.c] ^^ enclave RIP=0x7706; latency=8766
[main.c] ^^ enclave RIP=0x7708; latency=7856
[main.c] ^^ enclave RIP=0x770d; latency=7800
[main.c] ^^ enclave RIP=0x7710; latency=7872
[main.c] ^^ enclave RIP=0x7713; latency=7922
[main.c] ^^ enclave RIP=0x7718; latency=8018
[main.c] ^^ enclave RIP=0x771d; latency=8044
[main.c] ^^ enclave RIP=0x7721; latency=7804
[main.c] ^^ enclave RIP=0x7727; latency=8010
[main.c] ^^ enclave RIP=0x8396; latency=7852
[main.c] ^^ enclave RIP=0x839d; latency=7750
[main.c] ^^ enclave RIP=0x83a0; latency=7814
[main.c] ^^ enclave RIP=0x83a4; latency=7874
[main.c] ^^ enclave RIP=0x83a7; latency=7792
[main.c] ^^ enclave RIP=0x83a8; latency=7836
[main.c] ^^ enclave RIP=0x83a9; latency=7794
[main.c] ^^ enclave RIP=0x83ac; latency=7864
[main.c] ^^ enclave RIP=0x83af; latency=7788
[main.c] ^^ enclave RIP=0x83b2; latency=7688
[main.c] ^^ enclave RIP=0x83b5; latency=8072
[main.c] ^^ enclave RIP=0x83b8; latency=7760
[main.c] ^^ enclave RIP=0x83bb; latency=7794
[main.c] ^^ enclave RIP=0x83be; latency=7732
[main.c] ^^ enclave RIP=0x83c1; latency=7724
[main.c] ^^ enclave RIP=0x83c4; latency=7894
[main.c] ^^ enclave RIP=0x83c7; latency=7912
[main.c] ^^ enclave RIP=0x83ca; latency=7844
[main.c] ^^ enclave RIP=0x83cd; latency=7826
[main.c] do_bsearch returned index 4
[main.c] Caught fault 11! Restoring enclave page permissions..
[main.c] ^^ enclave RIP=0x83d4; latency=9266
[main.c] ^^ enclave RIP=0x3000; latency=8608
[main.c] ^^ enclave RIP=0x2057; latency=7802
[main.c] ^^ enclave RIP=0x205c; latency=7766
[main.c] ^^ enclave RIP=0x2063; latency=7788
[main.c] ^^ enclave RIP=0x206a; latency=7788
[main.c] ^^ enclave RIP=0x206f; latency=7828
[main.c] ^^ enclave RIP=0x2074; latency=7936
[main.c] ^^ enclave RIP=0x8710; latency=7918
[main.c] ^^ enclave RIP=0x8712; latency=7898
[main.c] ^^ enclave RIP=0x8714; latency=7874
[main.c] ^^ enclave RIP=0x8716; latency=7878
[main.c] ^^ enclave RIP=0x8718; latency=7874
[main.c] ^^ enclave RIP=0x8719; latency=7846
[main.c] ^^ enclave RIP=0x871a; latency=7844
[main.c] ^^ enclave RIP=0x871e; latency=7790
